Skill_columbia,Explanation_columbia,Related Course_columbia,Credits_columbia,Semester_columbia,Collapsed Skill,Skill_mit,Explanation_mit,Related Course_mit,Credits_mit,Semester_mit
Knowledge of parallel programming models and languages,"Students will learn about different models and languages used for parallel programming, allowing them to choose the most appropriate approach for a given problem.",PARALLEL FUNCTIONAL PROGRAMMIN,3.0,,Knowledge of parallel programming models and languages,Multicore programming,"Students will gain proficiency in programming multicore machines, including principles and core techniques such as locking, scalability, concurrent data structures, multiprocessor scheduling, load balancing, and synchronization techniques.","6.5081 Multicore Programming
",1.0,Fall 2023
Knowledge of parallel programming models and languages,"Students will learn about different models and languages used for parallel programming, allowing them to choose the most appropriate approach for a given problem.",PARALLEL FUNCTIONAL PROGRAMMIN,3.0,,Knowledge of parallel programming models and languages,Parallel programming,Students will learn how to write code that can be executed in parallel on multicore processors.,"6.5920 Parallel Computing
",1.0,Fall 2023
Knowledge of parallel programming models and languages,"Students will learn about different models and languages used for parallel programming, allowing them to choose the most appropriate approach for a given problem.",PARALLEL FUNCTIONAL PROGRAMMIN,3.0,,Knowledge of parallel programming models and languages,Data/model parallelism,Students will learn how to parallelize data and models in deep learning applications to improve efficiency and performance.,"6.5940 TinyML and Efficient Deep Learning Computing
(New)
",1.0,Fall 2023
Familiarity with parallel programming tools and libraries,"Students will become familiar with tools and libraries that facilitate parallel programming, enabling them to leverage existing resources and optimize their code.",PARALLEL FUNCTIONAL PROGRAMMIN,3.0,,Familiarity with parallel programming tools and libraries,,,,,
Ability to analyze the performance of parallel programs,"Students will develop the ability to evaluate the performance of parallel programs, identifying bottlenecks and optimizing their code for better efficiency.",PARALLEL FUNCTIONAL PROGRAMMIN,3.0,,Ability to analyze the performance of parallel programs,,,,,
Analysis of computer system performance,Students will acquire the ability to analyze the performance of a computer system and identify areas for improvement.,COMPUTER ARCHITECTURE,3.0,,Ability to analyze the performance of parallel programs,,,,,
Constructing and analyzing performance models of systems,Students will learn how to create mathematical models to represent the performance of computer systems and analyze these models to identify bottlenecks and areas for improvement.,MODELING & PERFORMANCE EV,3.0,,Ability to analyze the performance of parallel programs,,,,,
Dynamic programming,Students will learn the skill of using dynamic programming techniques to optimize solutions and improve efficiency in programming contests.,COMPETITIVE PROGRAMMING,3.0,,Dynamic programming,Recursion,Students will learn the concept of recursion and how to use it in programming to solve repetitive problems.,"6.1010 Fundamentals of Programming
",1.0,Fall 2023
Dynamic programming,Students will learn the skill of using dynamic programming techniques to optimize solutions and improve efficiency in programming contests.,COMPETITIVE PROGRAMMING,3.0,,Dynamic programming,Dynamic programming languages,"Students will gain proficiency in designing and implementing modern, dynamic programming languages.","6.1120 Dynamic Computer Language Engineering
",1.0,Fall 2023
Dynamic programming,Students will learn the skill of using dynamic programming techniques to optimize solutions and improve efficiency in programming contests.,COMPETITIVE PROGRAMMING,3.0,,Dynamic programming,Dynamic programming,Students will learn the technique of dynamic programming to solve optimization problems.,"6.1220[J] Design and Analysis of Algorithms
",1.0,Fall 2023
Dynamic programming,Students will learn the skill of using dynamic programming techniques to optimize solutions and improve efficiency in programming contests.,COMPETITIVE PROGRAMMING,3.0,,Dynamic programming,Dynamics and control,Students will develop skills in both model-based and learning-based approaches to dynamics and control in robotics.,"6.4212 Robotic Manipulation
",1.0,Fall 2023
Dynamic analysis,Students will develop skills in dynamic analysis techniques for understanding and improving the behavior of software systems.,FORMAL VERIF HW SW SYSTEM,3.0,,Dynamic programming,Recursion,Students will learn the concept of recursion and how to use it in programming to solve repetitive problems.,"6.1010 Fundamentals of Programming
",1.0,Fall 2023
Dynamic analysis,Students will develop skills in dynamic analysis techniques for understanding and improving the behavior of software systems.,FORMAL VERIF HW SW SYSTEM,3.0,,Dynamic programming,Dynamic programming languages,"Students will gain proficiency in designing and implementing modern, dynamic programming languages.","6.1120 Dynamic Computer Language Engineering
",1.0,Fall 2023
Dynamic analysis,Students will develop skills in dynamic analysis techniques for understanding and improving the behavior of software systems.,FORMAL VERIF HW SW SYSTEM,3.0,,Dynamic programming,Dynamic programming,Students will learn the technique of dynamic programming to solve optimization problems.,"6.1220[J] Design and Analysis of Algorithms
",1.0,Fall 2023
Dynamic analysis,Students will develop skills in dynamic analysis techniques for understanding and improving the behavior of software systems.,FORMAL VERIF HW SW SYSTEM,3.0,,Dynamic programming,Dynamics and control,Students will develop skills in both model-based and learning-based approaches to dynamics and control in robotics.,"6.4212 Robotic Manipulation
",1.0,Fall 2023
Swift programming,"Students will learn and practice the Swift programming language, which is essential for iOS app development.",MOBILE APP DEVELOP IOS,3.0,,Swift programming,,,,,
Xcode IDE,"Students will become proficient in using Xcode, the integrated development environment for iOS app development.",MOBILE APP DEVELOP IOS,3.0,,Xcode IDE,,,,,
Networking and authentication for enterprise apps,Students will learn how to implement networking and authentication features in mobile applications for enterprise use.,MOBILE APP DEVELOP IOS,3.0,,Networking and authentication for enterprise apps,,,,,
Entrepreneurship,"Students will learn entrepreneurial skills, such as identifying opportunities, developing innovative solutions, and pitching their ideas.",HACKING 4 DEFENSE,3.0,,Entrepreneurship,,,,,
Training neural networks,"Students will gain proficiency in training neural networks, which involves manipulating data and parameters to optimize the network's performance.",NEURAL NETWORKS DEEP LEARNING,3.0,,Training neural networks,Neural nets,Students will learn about neural nets and how to use them in building applications and solving computational problems.,"6.4100 Artificial Intelligence
",1.0,Fall 2023
Training neural networks,"Students will gain proficiency in training neural networks, which involves manipulating data and parameters to optimize the network's performance.",NEURAL NETWORKS DEEP LEARNING,3.0,,Training neural networks,Neural nets,Students will learn about neural networks and their application in solving computational problems.,"6.4102 Artificial Intelligence
",1.0,Fall 2023
Training neural networks,"Students will gain proficiency in training neural networks, which involves manipulating data and parameters to optimize the network's performance.",NEURAL NETWORKS DEEP LEARNING,3.0,,Training neural networks,Neural Networks,Students will learn about neural network models and their application in speech and language processing.,"6.8620[J] Spoken Language Processing
",1.0,Fall 2023
Applying neural networks to computer vision and natural language processing,"Students will learn how to use neural networks to analyze and process visual and textual data, requiring the manipulation and interpretation of data.",NEURAL NETWORKS DEEP LEARNING,3.0,,Applying neural networks to computer vision and natural language processing,Deep learning computing techniques,"Students will gain proficiency in efficient deep learning computing techniques, such as model compression, pruning, quantization, and neural architecture search.","6.5940 TinyML and Efficient Deep Learning Computing
(New)
",1.0,Fall 2023
Applying neural networks to computer vision and natural language processing,"Students will learn how to use neural networks to analyze and process visual and textual data, requiring the manipulation and interpretation of data.",NEURAL NETWORKS DEEP LEARNING,3.0,,Applying neural networks to computer vision and natural language processing,Neural computing,Students will acquire skills in applying computational methods and techniques to study neural systems.,"6.4812[J] Cellular Neurophysiology and Computing
",1.0,Fall 2023
Deep learning,Students will gain proficiency in deep learning techniques and algorithms.,APPLIED DEEP LEARNING,3.0,,Applying neural networks to computer vision and natural language processing,Deep learning computing techniques,"Students will gain proficiency in efficient deep learning computing techniques, such as model compression, pruning, quantization, and neural architecture search.","6.5940 TinyML and Efficient Deep Learning Computing
(New)
",1.0,Fall 2023
Deep learning,Students will gain proficiency in deep learning techniques and algorithms.,APPLIED DEEP LEARNING,3.0,,Applying neural networks to computer vision and natural language processing,Neural computing,Students will acquire skills in applying computational methods and techniques to study neural systems.,"6.4812[J] Cellular Neurophysiology and Computing
",1.0,Fall 2023
PyTorch,"Students will learn how to use PyTorch, a popular deep learning framework.",DEEP LRNG FOR COMP VISION,3.0,,PyTorch,TensorFlow,"Students will gain proficiency in using TensorFlow, a popular deep learning framework.","6.8710[J] Computational Systems Biology: Deep Learning in the Life Sciences
",1.0,Fall 2023
PyTorch,"Students will learn how to use PyTorch, a popular deep learning framework.",DEEP LRNG FOR COMP VISION,3.0,,PyTorch,TensorFlow,"Students will gain proficiency in using TensorFlow, a popular deep learning framework.","6.8711[J] Computational Systems Biology: Deep Learning in the Life Sciences
",1.0,Fall 2023
CUDA programming,"Students will develop skills in CUDA programming, which is used for parallel computing on NVIDIA GPUs.",DEEP LRNG FOR COMP VISION,3.0,,CUDA programming,,,,,
MPI,Students will learn how to use MPI (Message Passing Interface) for parallel computing.,DEEP LRNG FOR COMP VISION,3.0,,MPI,,,,,
Performance optimization,Students will acquire skills in optimizing the performance of deep learning models in PyTorch.,DEEP LRNG FOR COMP VISION,3.0,,Performance optimization,Optimization,Students will gain the ability to formulate and solve optimization problems using computational methods.,"6.100B Introduction to Computational Thinking and Data Science
",1.0,Fall 2023
Performance optimization,Students will acquire skills in optimizing the performance of deep learning models in PyTorch.,DEEP LRNG FOR COMP VISION,3.0,,Performance optimization,Performance analysis,Students will learn how to analyze the performance of software systems.,"6.1060 Software Performance Engineering
",1.0,Fall 2023
Performance optimization,Students will acquire skills in optimizing the performance of deep learning models in PyTorch.,DEEP LRNG FOR COMP VISION,3.0,,Performance optimization,Performance engineering,Students will gain the ability to optimize and improve the performance of algorithm implementations.,"6.5060 Algorithm Engineering
",1.0,Fall 2023
Performance optimization,Students will acquire skills in optimizing the performance of deep learning models in PyTorch.,DEEP LRNG FOR COMP VISION,3.0,,Performance optimization,Optimization theory,Students will learn about optimization theory and its application in sublinear time algorithms.,"6.5240 Sublinear Time Algorithms
",1.0,Fall 2023
Performance optimization,Students will acquire skills in optimizing the performance of deep learning models in PyTorch.,DEEP LRNG FOR COMP VISION,3.0,,Performance optimization,Performance optimization,"Students will learn techniques for optimizing the performance of computer systems, which involves manipulating and analyzing data and system resources.","6.1800 Computer Systems Engineering
",1.0,Fall 2023
Performance optimization,Students will acquire skills in optimizing the performance of deep learning models in PyTorch.,DEEP LRNG FOR COMP VISION,3.0,,Performance optimization,Co-optimization,"Students will learn how to co-optimize algorithms and hardware, including sparsity, to improve the efficiency of deep learning systems.","6.5930 Hardware Architecture for Deep Learning
",1.0,Fall 2023
Performance optimization,Students will acquire skills in optimizing the performance of deep learning models in PyTorch.,DEEP LRNG FOR COMP VISION,3.0,,Performance optimization,Design optimization,Students will learn how to optimize designs using analytical techniques to achieve desired outcomes.,"6.4860[J] Medical Device Design
",1.0,Fall 2023
"Performance optimization in Pytorch, Parallel",Students will gain proficiency in optimizing the performance of computer systems using PyTorch and parallel computing techniques.,MODELING & PERFORMANCE EV,3.0,,Performance optimization,Optimization,Students will gain the ability to formulate and solve optimization problems using computational methods.,"6.100B Introduction to Computational Thinking and Data Science
",1.0,Fall 2023
"Performance optimization in Pytorch, Parallel",Students will gain proficiency in optimizing the performance of computer systems using PyTorch and parallel computing techniques.,MODELING & PERFORMANCE EV,3.0,,Performance optimization,Performance analysis,Students will learn how to analyze the performance of software systems.,"6.1060 Software Performance Engineering
",1.0,Fall 2023
"Performance optimization in Pytorch, Parallel",Students will gain proficiency in optimizing the performance of computer systems using PyTorch and parallel computing techniques.,MODELING & PERFORMANCE EV,3.0,,Performance optimization,Performance engineering,Students will gain the ability to optimize and improve the performance of algorithm implementations.,"6.5060 Algorithm Engineering
",1.0,Fall 2023
"Performance optimization in Pytorch, Parallel",Students will gain proficiency in optimizing the performance of computer systems using PyTorch and parallel computing techniques.,MODELING & PERFORMANCE EV,3.0,,Performance optimization,Optimization theory,Students will learn about optimization theory and its application in sublinear time algorithms.,"6.5240 Sublinear Time Algorithms
",1.0,Fall 2023
"Performance optimization in Pytorch, Parallel",Students will gain proficiency in optimizing the performance of computer systems using PyTorch and parallel computing techniques.,MODELING & PERFORMANCE EV,3.0,,Performance optimization,Performance optimization,"Students will learn techniques for optimizing the performance of computer systems, which involves manipulating and analyzing data and system resources.","6.1800 Computer Systems Engineering
",1.0,Fall 2023
"Performance optimization in Pytorch, Parallel",Students will gain proficiency in optimizing the performance of computer systems using PyTorch and parallel computing techniques.,MODELING & PERFORMANCE EV,3.0,,Performance optimization,Co-optimization,"Students will learn how to co-optimize algorithms and hardware, including sparsity, to improve the efficiency of deep learning systems.","6.5930 Hardware Architecture for Deep Learning
",1.0,Fall 2023
"Performance optimization in Pytorch, Parallel",Students will gain proficiency in optimizing the performance of computer systems using PyTorch and parallel computing techniques.,MODELING & PERFORMANCE EV,3.0,,Performance optimization,Design optimization,Students will learn how to optimize designs using analytical techniques to achieve desired outcomes.,"6.4860[J] Medical Device Design
",1.0,Fall 2023
Design and implementation of SoC platforms,Students will learn how to design and implement SoC platforms using industry-standard CAD tools.,SYSTEM-ON-CHIP PLATFORMS,3.0,,Design and implementation of SoC platforms,,,,,
Understanding of technology and economic trends in SoC platforms,Students will gain knowledge and skills in understanding the current technology and economic trends in SoC platforms.,SYSTEM-ON-CHIP PLATFORMS,3.0,,Understanding of technology and economic trends in SoC platforms,,,,,
System-level design of SoC platforms,Students will learn methodologies for system-level design of SoC platforms.,SYSTEM-ON-CHIP PLATFORMS,3.0,,System-level design of SoC platforms,,,,,
Design considerations for SoC platforms in various application domains,"Students will understand the design considerations for SoC platforms in multimedia, wireless, networking, embedded systems, real-time systems, security, and reliability.",SYSTEM-ON-CHIP PLATFORMS,3.0,,Design considerations for SoC platforms in various application domains,,,,,
Hands-on experience with industry-standard CAD tools,"Through the significant project component, students will gain hands-on experience in designing and implementing SoC platforms using industry-standard CAD tools.",SYSTEM-ON-CHIP PLATFORMS,3.0,,Hands-on experience with industry-standard CAD tools,CAD tools,Students will develop proficiency in using CAD tools for designing and testing digital systems.,"6.5910 Complex Digital Systems Design
",1.0,Fall 2023
Hands-on experience with industry-standard CAD tools,"Through the significant project component, students will gain hands-on experience in designing and implementing SoC platforms using industry-standard CAD tools.",SYSTEM-ON-CHIP PLATFORMS,3.0,,Hands-on experience with industry-standard CAD tools,Computer-aided design (CAD),Students will develop proficiency in using CAD software to create and manipulate 3D models.,"6.8420 Computational Design and Fabrication
",1.0,Fall 2023
Designing computer systems,"Students will learn how to design computer systems, which involves understanding the components and architecture of a computer system and how to optimize its performance.",MODELING & PERFORMANCE EV,3.0,,Designing computer systems,Operating system design and implementation,"Students will learn how to design and implement operating systems, including topics such as virtual memory, file systems, threads, and system calls.","6.1810 Operating System Engineering
",1.0,Fall 2023
Designing computer systems,"Students will learn how to design computer systems, which involves understanding the components and architecture of a computer system and how to optimize its performance.",MODELING & PERFORMANCE EV,3.0,,Designing computer systems,Embedded system design,Students will learn how to design and implement embedded systems for IoT applications.,"6.1820[J] Mobile and Sensor Computing
",1.0,Fall 2023
Designing computer systems,"Students will learn how to design computer systems, which involves understanding the components and architecture of a computer system and how to optimize its performance.",MODELING & PERFORMANCE EV,3.0,,Designing computer systems,Operating system design,Students will learn how to design an operating system through the construction of a minimal operating system for an x86-based personal computer.,"6.5810 Operating System Engineering
",1.0,Fall 2023
Designing computer systems,"Students will learn how to design computer systems, which involves understanding the components and architecture of a computer system and how to optimize its performance.",MODELING & PERFORMANCE EV,3.0,,Designing computer systems,Hardware design,Students will learn how to design digital systems and computer architecture using a high-level hardware language.,"6.1910 Computation Structures
",1.0,Fall 2023
Designing computer systems,"Students will learn how to design computer systems, which involves understanding the components and architecture of a computer system and how to optimize its performance.",MODELING & PERFORMANCE EV,3.0,,Designing computer systems,Microprocessor Design,Students will learn how to design and implement microprocessors.,"6.1920 Constructive Computer Architecture
",1.0,Fall 2023
Designing computer systems,"Students will learn how to design computer systems, which involves understanding the components and architecture of a computer system and how to optimize its performance.",MODELING & PERFORMANCE EV,3.0,,Designing computer systems,Computer architecture,"Students will learn about the principles and concepts underlying modern computer architecture, including pipelined execution, caches, and memory models.","6.5900 Computer System Architecture
",1.0,Fall 2023
Designing computer systems,"Students will learn how to design computer systems, which involves understanding the components and architecture of a computer system and how to optimize its performance.",MODELING & PERFORMANCE EV,3.0,,Designing computer systems,Hardware architecture design,Students will learn how to design efficient hardware architectures for deep learning algorithms and tensor algebra in AI systems.,"6.5930 Hardware Architecture for Deep Learning
",1.0,Fall 2023
Designing computer systems,"Students will learn how to design computer systems, which involves understanding the components and architecture of a computer system and how to optimize its performance.",MODELING & PERFORMANCE EV,3.0,,Designing computer systems,Hardware architecture design,Students will learn how to design hardware architectures for efficient processing of deep learning algorithms and tensor algebra in AI systems.,"6.5931 Hardware Architecture for Deep Learning
",1.0,Fall 2023
Designing computer systems,"Students will learn how to design computer systems, which involves understanding the components and architecture of a computer system and how to optimize its performance.",MODELING & PERFORMANCE EV,3.0,,Designing computer systems,Embedded system development,Students will gain proficiency in developing embedded systems for controlling robots and autonomous vehicles.,"6.4200[J] Robotics: Science and Systems
",1.0,Fall 2023
,,,,,Testing and test-case generation,Testing and test-case generation,Students will gain proficiency in testing software and generating test cases to ensure the quality and reliability of their code.,"6.1020 Software Construction
",1.0,Fall 2023
,,,,,Testing and test-case generation,Testing and iteration,"Students will gain skills in testing and iterating game designs, ensuring that the game is functional and enjoyable.","6.4570[J] Creating Video Games
",1.0,Fall 2023
,,,,,Concurrency issues,Concurrent programming,"Students will develop skills in concurrent programming, including message passing and shared memory concurrency, and learn how to defend against races and deadlock.","6.1020 Software Construction
",1.0,Fall 2023
,,,,,Concurrency issues,Designing highly concurrent applications,Students will learn how to design a highly concurrent application as part of the programming assignments.,"6.5081 Multicore Programming
",1.0,Fall 2023
,,,,,Concurrency issues,Deadlock detection,Students will develop the ability to detect and resolve deadlocks in distributed systems.,"6.5250[J] Distributed Algorithms
",1.0,Fall 2023
,,,,,Concurrency issues,Concurrent algorithms,"Students will gain proficiency in designing and implementing algorithms that can run concurrently, allowing for efficient and parallel execution of tasks.","6.5850 Principles of Computer Systems
",1.0,Fall 2023
,,,,,Vectorization,Vectorization,Students will learn how to utilize vectorization to improve the performance of software systems.,"6.1060 Software Performance Engineering
",1.0,Fall 2023
,,,,,Sequential algorithm implementation,Sequential algorithm implementation,Students will develop the skill to implement algorithms that are executed sequentially.,"6.5060 Algorithm Engineering
",1.0,Fall 2023
,,,,,Parallel algorithm implementation,Parallel algorithm implementation,Students will learn how to implement algorithms that can be executed in parallel.,"6.5060 Algorithm Engineering
",1.0,Fall 2023
,,,,,Parallel algorithm implementation,Parallel algorithm design,Students will learn how to design algorithms that can be executed in parallel on multiple processors.,"6.5210[J] Advanced Algorithms
",1.0,Fall 2023
,,,,,Parallel algorithm implementation,Parallel encoding,Students will learn about parallel encoding techniques used in MRI.,"6.8810[J] Data Acquisition and Image Reconstruction in MRI
",1.0,Fall 2023
,,,,,External-memory algorithm implementation,External-memory algorithm implementation,Students will gain proficiency in implementing algorithms that efficiently use external memory.,"6.5060 Algorithm Engineering
",1.0,Fall 2023
,,,,,Transactional memory,Transactional memory,Students will learn about state-of-the-art synchronization technique called transactional memory and how to apply it in multicore programming.,"6.5080 Multicore Programming
",1.0,Fall 2023
,,,,,Transactional memory,Transactional memory,"Students will learn about state-of-the-art synchronization techniques, such as transactional memory, used in multicore programming.","6.5081 Multicore Programming
",1.0,Fall 2023
,,,,,Trends in the evolution of programming languages,Programming languages,Students will develop proficiency in understanding and working with different programming languages.,"6.1100 Computer Language Engineering
",1.0,Fall 2023
,,,,,Semantics and interpretation,Semantics and interpretation,Students will develop the ability to understand and interpret the meaning of programming language constructs.,"6.1120 Dynamic Computer Language Engineering
",1.0,Fall 2023
,,,,,Semantics and interpretation,Interpretation,Students will develop the skill of interpreting the results and outputs of machine learning models in the context of life sciences problems.,"6.8711[J] Computational Systems Biology: Deep Learning in the Life Sciences
",1.0,Fall 2023
,,,,,Semantics and interpretation,Syntactic parsing,"Students will learn how to analyze the structure of sentences and parse them into syntactic components, a crucial skill in natural language processing.","6.8610 Quantitative Methods for Natural Language Processing
",1.0,Fall 2023
,,,,,Semantics and interpretation,Syntactic parsing,"Students will learn how to analyze the structure of sentences and phrases in natural language, a key skill in computational language processing.","6.8611 Quantitative Methods for Natural Language Processing
",1.0,Fall 2023
,,,,,Abstractions,Abstract interpretation,Students will learn how to apply abstract interpretation techniques to analyze and reason about programs.,"6.5120 Formal Reasoning About Programs
",1.0,Fall 2023
,,,,,Coq proof assistant,Coq proof assistant,Students will develop proficiency in using the Coq proof assistant for interactive computer theorem proving.,"6.5120 Formal Reasoning About Programs
",1.0,Fall 2023
,,,,,Computational methods for text analysis,Computational analysis,Students will gain proficiency in using computation to capture methods and analyze physical systems.,"6.5160[J] Classical Mechanics: A Computational Approach
",1.0,Fall 2023
,,,,,Computational methods for text analysis,Computational methods,Students will learn and apply computational methods to analyze and control underactuated mechanical systems.,"6.8210 Underactuated Robotics
",1.0,Fall 2023
,,,,,Logical notation,Logical notation,Students will learn how to use logical notation to express mathematical statements and proofs.,"6.1200[J] Mathematics for Computer Science
",1.0,Fall 2023
,,,,,Logical notation,Logical representation and inference,Students will develop the ability to manipulate logical representations and perform logical inference to reason in AI.,"6.4110 Representation, Inference, and Reasoning in AI
",1.0,Fall 2023
,,,,,Logical notation,First-order logic,Students will learn about first-order logic and its use in representing structured knowledge.,"6.4120[J] Computational Cognitive Science
",1.0,Fall 2023
,,,,,Knowledge of graph theory,Graph theory,"Students will gain proficiency in analyzing and manipulating graphs, which are essential in computer science.","6.1200[J] Mathematics for Computer Science
",1.0,Fall 2023
,,,,,Knowledge of graph theory,Graph theory,Students will acquire the skill of understanding and manipulating graphs as they learn about elementary graph theory.,"6.120A Discrete Mathematics and Proof for Computer Science
",1.0,Fall 2023
,,,,,Induction and proofs by contradiction,Induction and proofs by contradiction,Students will develop the ability to use mathematical induction and proofs by contradiction to solve problems and prove theorems.,"6.1200[J] Mathematics for Computer Science
",1.0,Fall 2023
,,,,,Probability theory,Discrete probability,"Students will acquire the skill of applying probability concepts to discrete scenarios, which is crucial in computer science.","6.1200[J] Mathematics for Computer Science
",1.0,Fall 2023
,,,,,Probability theory,Probabilistic computation,Students will learn how to incorporate randomness and probability into computational algorithms.,"6.5400[J] Theory of Computation
",1.0,Fall 2023
,,,,,Sorting,Sorting,Students will gain proficiency in sorting algorithms and their implementation.,"6.1220[J] Design and Analysis of Algorithms
",1.0,Fall 2023
,,,,,Amortized analysis,Amortized analysis,Students will learn the concept of amortized analysis and its application in analyzing algorithms.,"6.1220[J] Design and Analysis of Algorithms
",1.0,Fall 2023
,,,,,Models of Computation,Computational geometry,Students will learn how to manipulate geometric objects and solve geometric problems using algorithms.,"6.5210[J] Advanced Algorithms
",1.0,Fall 2023
,,,,,Models of Computation,Computational learning theory,"Students will develop skills in understanding and applying computational learning theory, which deals with the design and analysis of algorithms that learn from data.","6.5420 Randomness and Computation
",1.0,Fall 2023
,,,,,Models of Computation,Computational modeling,Students will learn how to build computational models for analyzing evolutionary data. This skill is selected because it is a quantifiable skill that involves manipulating data to accomplish an objective.,"6.4710[J] Evolutionary Biology: Concepts, Models and Computation
",1.0,Fall 2023
,,,,,Models of Computation,Computational modeling,Students will gain proficiency in using computational tools and techniques to model and analyze the results of their experimental work.,"6.4880[J] Biological Circuit Engineering Laboratory
",1.0,Fall 2023
,,,,,Models of Computation,Computational photography,Students will gain proficiency in using computational techniques to enhance and modify photographs.,"6.8371 Digital and Computational Photography
",1.0,Fall 2023
,,,,,Random sampling,Random sampling,Students will gain proficiency in using random sampling as a method to simplify and improve algorithms.,"6.5220[J] Randomized Algorithms
",1.0,Fall 2023
,,,,,Random sampling,Sampling algorithms,Students will learn about sampling algorithms used for approximate learning and inference in probabilistic models.,"6.4120[J] Computational Cognitive Science
",1.0,Fall 2023
,,,,,Random sampling,Non-uniform sampling,Students will learn about the reconstruction of non-uniformly sampled data in MRI.,"6.8810[J] Data Acquisition and Image Reconstruction in MRI
",1.0,Fall 2023
,,,,,Symmetry breaking,Symmetry breaking,Students will learn how to break symmetries in algorithms to improve efficiency.,"6.5220[J] Randomized Algorithms
",1.0,Fall 2023
,,,,,Hidden Markov modeling,Markov chains,Students will learn about Markov chains and their application in randomized algorithms.,"6.5220[J] Randomized Algorithms
",1.0,Fall 2023
,,,,,Hidden Markov modeling,Hidden Markov Modeling,Students will gain proficiency in using hidden Markov models for speech and language processing.,"6.8620[J] Spoken Language Processing
",1.0,Fall 2023
,,,,,Consensus algorithms,Distributed algorithms,Students will learn about distributed algorithms and their role in sublinear time algorithms.,"6.5240 Sublinear Time Algorithms
",1.0,Fall 2023
,,,,,Consensus algorithms,Distributed consensus,Students will learn techniques for achieving consensus among multiple processes in a distributed network.,"6.5250[J] Distributed Algorithms
",1.0,Fall 2023
,,,,,Consensus algorithms,Synchronization algorithms,Students will learn various algorithms and techniques for synchronizing parallel computations.,"6.5920 Parallel Computing
",1.0,Fall 2023
,,,,,Consensus algorithms,Genetic algorithms,Students will acquire the skill of using genetic algorithms to solve optimization problems in computational applications.,"6.4100 Artificial Intelligence
",1.0,Fall 2023
,,,,,Consensus algorithms,Genetic algorithms,Students will gain knowledge and skills in using genetic algorithms for optimization and problem-solving.,"6.4102 Artificial Intelligence
",1.0,Fall 2023
,,,,,Process synchronization and interprocess communication,Process synchronization,Students will gain proficiency in synchronizing processes in a distributed system to ensure proper execution.,"6.5250[J] Distributed Algorithms
",1.0,Fall 2023
,,,,,Process synchronization and interprocess communication,Interprocess communication,"Students will gain skills in interprocess communication, which is crucial for coordination and interaction between different processes in an operating system.","6.5810 Operating System Engineering
",1.0,Fall 2023
,,,,,Process synchronization and interprocess communication,Synchronization,"Students will learn how to synchronize multiple processes or threads in a computer system, ensuring proper coordination and avoiding conflicts.","6.5850 Principles of Computer Systems
",1.0,Fall 2023
,,,,,Algorithmic origami design,Algorithmic origami design,"Students will learn how to design origami using algorithms, which involves manipulating and folding paper to create specific shapes and patterns.","6.5310 Geometric Folding Algorithms: Linkages, Origami, Polyhedra
",1.0,Fall 2023
,,,,,Convex hulls,Convex hulls,Students will gain proficiency in implementing algorithms for finding convex hulls.,"6.5320 Geometric Computing
",1.0,Fall 2023
,,,,,Delaunay triangulation,Delaunay triangulation,Students will learn about Delaunay triangulation and its application in geometric problems.,"6.5320 Geometric Computing
",1.0,Fall 2023
,,,,,Stereo vision and structure from motion,Motion planning,Students will develop the skill of motion planning in geometric spaces.,"6.5320 Geometric Computing
",1.0,Fall 2023
,,,,,Stereo vision and structure from motion,Motion planning,Students will develop the skill of planning the motion of robots and autonomous vehicles in order to navigate autonomously.,"6.4200[J] Robotics: Science and Systems
",1.0,Fall 2023
,,,,,Stereo vision and structure from motion,Motion planning,"Students will develop skills in motion planning for underactuated mechanical systems, including legged locomotion, compliant manipulation, underwater robots, and flying machines.","6.8210 Underactuated Robotics
",1.0,Fall 2023
,,,,,Circuit Complexity and Communication Complexity,Computational complexity,Students will gain proficiency in understanding the complexity of algorithms and their impact on system performance.,"6.5340 Topics in Algorithmic Game Theory
",1.0,Fall 2023
,,,,,Circuit Complexity and Communication Complexity,Communication complexity,Students will develop skills in understanding and analyzing communication complexity in quantum systems.,"6.5430 Quantum Complexity Theory
",1.0,Fall 2023
,,,,,Circuit Complexity and Communication Complexity,Combinational and sequential circuits,Students will learn how to design and manipulate combinational and sequential circuits.,"6.1910 Computation Structures
",1.0,Fall 2023
,,,,,Learning in games,Learning in games,Students will develop skills in understanding and analyzing learning processes in game theory.,"6.5340 Topics in Algorithmic Game Theory
",1.0,Fall 2023
,,,,,Learning in games,Game design,"Students will learn how to design video games, including creating game mechanics, levels, and characters.","6.4570[J] Creating Video Games
",1.0,Fall 2023
,,,,,Price of anarchy,Price of anarchy,Students will learn how to calculate and analyze the price of anarchy in game-theoretic systems.,"6.5340 Topics in Algorithmic Game Theory
",1.0,Fall 2023
,,,,,Concept of randomness and its role in complexity theory,Computational complexity theory,Students will develop a proficiency in understanding and analyzing the complexity of computational problems.,"6.5400[J] Theory of Computation
",1.0,Fall 2023
,,,,,Concept of randomness and its role in complexity theory,Complexity theory,Students will learn about complexity classes and lower bounds in the context of quantum computing.,"6.5430 Quantum Complexity Theory
",1.0,Fall 2023
,,,,,Reducibility,Reducibility,"Students will learn how to reduce one problem to another, which is a fundamental skill in computational theory.","6.5400[J] Theory of Computation
",1.0,Fall 2023
